event_time_utc,symbol,oi_notional,d6h_pct,d6h_rolling_pctl,r6h_mark,severity,severity_code,funding_time_utc,funding_value,funding_rolling_pctl,a2_overlap,regime
2023-02-09T19:00:00Z,ETHUSDT,1624254933.28923,-0.1045733910149873,0.005938784833257195,-0.037801772275524025,Medium,1,2023-02-09T16:00:00Z,0.0001,0.8397260273972603,0,unknown
2023-02-09T22:00:00Z,SOLUSDT,95314072.45554936,-0.15785026766347332,0.003997259022384651,-0.09984546359796398,Medium,1,2023-02-09T16:00:00Z,0.0001,0.8367521367521368,0,unknown
2023-02-17T00:00:00Z,BTCUSDT,2468345057.040966,-0.11884477566820184,0.0029693924166285975,-0.05165202169773259,Severe,2,2023-02-16T16:00:00Z,0.00023171,0.9990867579908675,1,unknown
2023-03-03T01:00:00Z,BTCUSDT,2285093140.0535,-0.10764225734080046,0.0053677478300593875,-0.057989738938178506,Medium,1,2023-03-03T00:00:00Z,0.0001,0.8237442922374429,0,unknown
2023-03-03T01:00:00Z,ETHUSDT,1556185698.9517446,-0.09952496941063405,0.008565555047967108,-0.05964985762920351,Mild,0,2023-03-03T00:00:00Z,3.967e-05,0.4474885844748858,0,unknown
2023-03-09T20:00:00Z,BTCUSDT,2188404078.6042,-0.11280759898728265,0.004223744292237443,-0.07642878270788828,Medium,1,2023-03-09T16:00:00Z,0.0001,0.8269406392694064,0,unknown
2023-03-09T21:00:00Z,ETHUSDT,1313057576.40785,-0.14789137150070986,0.0012557077625570776,-0.06844003723546241,Severe,2,2023-03-09T16:00:00Z,3.643e-05,0.4392694063926941,0,unknown
2023-03-09T21:00:00Z,SOLUSDT,88287639.345,-0.13331880810618324,0.0073059360730593605,-0.08165761223103946,Mild,0,2023-03-09T16:00:00Z,0.0001,0.8282051282051283,0,unknown
2023-03-14T18:00:00Z,BTCUSDT,2632394752.5497165,-0.11538408431525926,0.0038812785388127853,-0.032866743033218446,Medium,1,2023-03-14T16:00:00Z,0.00029811,0.9990867579908675,1,unknown
2023-03-15T19:00:00Z,BTCUSDT,2341056265.195385,-0.10116593768749671,0.008105022831050229,-0.017608114502166306,Mild,0,2023-03-15T16:00:00Z,0.00022126,0.9963470319634703,1,unknown
2023-03-22T19:00:00Z,BTCUSDT,2819308657.56,-0.11870289708429715,0.003995433789954338,-0.05866989553244609,Medium,1,2023-03-22T16:00:00Z,5.334e-05,0.4748858447488584,0,unknown
2023-03-22T19:00:00Z,SOLUSDT,86243967.105,-0.13539284122114115,0.006621004566210046,-0.06440210074903606,Medium,1,2023-03-22T16:00:00Z,0.0001,0.8294871794871795,0,unknown
2023-03-24T21:00:00Z,BTCUSDT,2694596108.2872,-0.09602011771368313,0.009589041095890411,-0.024603428635632273,Mild,0,2023-03-24T16:00:00Z,0.0001,0.8232876712328767,0,unknown
2023-04-10T08:00:00Z,BTCUSDT,0.0,-1.0,0.0,-0.00014890000545438793,Severe,2,2023-04-10T00:00:00Z,0.0001,0.8365296803652968,0,unknown
2023-04-19T08:00:00Z,ETHUSDT,1761252522.81,-0.1338547153882551,0.002397260273972603,-0.051589616359213095,Severe,2,2023-04-19T00:00:00Z,0.0001,0.845662100456621,0,unknown
2023-04-19T08:00:00Z,SOLUSDT,112938879.9200886,-0.1778675162359522,0.0027397260273972603,-0.07957930217097685,Severe,2,2023-04-19T00:00:00Z,0.0001,0.8316239316239317,0,unknown
2023-04-21T20:00:00Z,ETHUSDT,1535099584.2265244,-0.10201914186043404,0.007990867579908675,-0.03719367452361401,Mild,0,2023-04-21T16:00:00Z,8.488e-05,0.6593607305936073,0,unknown
2023-04-26T19:00:00Z,ETHUSDT,1396118273.44092,-0.1825797423444656,0.0006849315068493151,-0.06624110972885426,Severe,2,2023-04-26T16:00:00Z,8.7e-05,0.6684931506849315,0,unknown
2023-04-26T20:00:00Z,SOLUSDT,98027042.37387842,-0.14334915801752013,0.005707762557077625,-0.054077043295184396,Medium,1,2023-04-26T16:00:00Z,0.0001,0.8333333333333334,0,unknown
2023-05-01T01:00:00Z,SOLUSDT,106806226.212,-0.1340679463747847,0.008675799086757991,-0.04371823194480759,Mild,0,2023-05-01T00:00:00Z,0.0001,0.8307692307692308,0,unknown
2023-05-06T14:00:00Z,ETHUSDT,1530750142.4232,-0.11592267468215023,0.005136986301369863,-0.035745833830232915,Medium,1,2023-05-06T08:00:00Z,0.0001,0.8474885844748858,0,unknown
2023-06-10T04:00:00Z,SOLUSDT,91174775.78,-0.22539038643110842,0.00045662100456621003,-0.18109120791522015,Severe,2,2023-06-10T00:00:00Z,4.312e-05,0.5243589743589744,0,unknown
2023-06-30T13:00:00Z,SOLUSDT,95668416.105,-0.1825208029267188,0.002511415525114155,-0.03935401414455942,Severe,2,2023-06-30T08:00:00Z,0.0001,0.8102564102564103,0,unknown
2023-06-30T14:00:00Z,BTCUSDT,3381514045.4239073,-0.09501578173204339,0.008447488584474886,-0.02524233251410932,Mild,0,2023-06-30T08:00:00Z,0.0001,0.8420091324200913,0,unknown
2023-07-06T15:00:00Z,BTCUSDT,3278522632.9592,-0.14738846849769494,0.002625570776255708,-0.02180741147181473,Severe,2,2023-07-06T08:00:00Z,7.72e-05,0.5844748858447488,0,unknown
2023-07-14T18:00:00Z,BTCUSDT,2995277563.3242,-0.13151141406715094,0.0038812785388127853,-0.034194180779692405,Medium,1,2023-07-14T16:00:00Z,0.0001,0.8383561643835616,0,unknown
2023-07-14T18:00:00Z,ETHUSDT,1502245375.57344,-0.17307069256590235,0.0013698630136986301,-0.03768769875325706,Severe,2,2023-07-14T16:00:00Z,0.0001,0.8461187214611872,0,unknown
