event_id,symbol,day,ok,status,quote_volume
P0RES018-00244,FARTCOINUSDT,2024-12-23,True,200,243886621.66375002
P0RES018-00244,FARTCOINUSDT,2024-12-25,True,200,445934585.9670699
P0RES018-00244,FARTCOINUSDT,2024-12-26,True,200,257753491.01884
P0RES018-00244,FARTCOINUSDT,2024-12-24,True,200,666080008.53284
P0RES018-00245,KMNOUSDT,2024-12-20,True,200,8307700.8707300015
P0RES018-00245,KMNOUSDT,2024-12-21,True,200,13861136.880370002
P0RES018-00245,KMNOUSDT,2024-12-24,True,200,8604486.231599998
P0RES018-00245,KMNOUSDT,2024-12-26,True,200,6902273.68904
P0RES018-00245,KMNOUSDT,2024-12-22,True,200,11615724.20751
P0RES018-00245,KMNOUSDT,2024-12-25,True,200,8369623.367259998
P0RES018-00246,HIVEUSDT,2024-12-23,True,200,43811072.93504
P0RES018-00245,KMNOUSDT,2024-12-23,True,200,8086845.052280002
P0RES018-00246,HIVEUSDT,2024-12-24,True,200,68621226.0084
P0RES018-00246,HIVEUSDT,2024-12-25,True,200,58103863.18108
P0RES018-00246,HIVEUSDT,2024-12-27,True,200,38703690.22939001
P0RES018-00246,HIVEUSDT,2024-12-26,True,200,106593813.51066
