symbol,datetime,bar_index,period,close,ref_high,future_ret_6,future_ret_12,future_ret_24
BTC,2022-06-06 08:00:00,7509,2022,31396.71,31434.75,-0.061584298905178664,-0.03190365772420253,-0.0448206300928024
SOL,2022-06-06 08:00:00,3985,2022,43.92,43.99,-0.14294322680686922,-0.11089085776750625,-0.11089085776750625
BTC,2022-06-06 12:00:00,7510,2022,31541.42,31599.37,-0.053738483659441505,-0.034336848640963175,-0.06845388441299985
ETH,2022-06-06 12:00:00,7510,2022,1886.79,1915.47,-0.057393200528902594,-0.038642755451452696,-0.08843327106738802
SOL,2022-06-16 00:00:00,4043,2022,33.79,34.86,-0.11796801873095965,-0.11630440164455952,-0.04602689466232797
SOL,2022-06-19 16:00:00,4065,2022,33.21,33.62,0.03665796207101241,0.09719720501866543,0.12335482419722228
ETH,2022-06-19 20:00:00,7590,2022,1128.53,1153.0,-0.0002570044812685736,-0.0023775949595842773,0.014244164733226245
SOL,2022-06-19 20:00:00,4066,2022,34.19,34.28,0.030248597416768937,0.0631848706482521,0.10959255407925611
ETH,2022-06-20 08:00:00,7593,2022,1153.05,1158.62,-0.010163787569514502,-0.04953064900608543,0.03649679637971993
SOL,2022-06-21 04:00:00,4074,2022,36.83,36.9,-0.0840783537519846,-0.02362747274944139,0.13539633730149458
BTC,2022-06-21 08:00:00,7599,2022,20962.42,21333.0,-0.021999154798030943,-0.015558995939446221,0.017862244295472812
ETH,2022-06-21 08:00:00,7599,2022,1141.39,1170.0,-0.039366861436570894,-0.030963603159515175,0.06427345828216856
SOL,2022-06-21 08:00:00,4075,2022,37.15,37.67,-0.04599461372238948,-0.006481254121860988,0.1193669458540856
BTC,2022-06-21 12:00:00,7600,2022,21392.19,21500.01,-0.06329662725431633,-0.04985113716700291,-0.020319875001787238
ETH,2022-06-21 12:00:00,7600,2022,1168.13,1177.77,-0.08306491352463596,-0.06536239890770171,0.013443679919722458
SOL,2022-06-21 12:00:00,4076,2022,37.95,38.55,-0.08808993183083783,-0.019423252627534384,0.04910381094300973
SOL,2022-06-24 00:00:00,4091,2022,38.93,39.19,0.061757235935111496,0.061757235935111496,-0.031044621681960163
ETH,2022-06-24 12:00:00,7618,2022,1197.98,1205.52,-0.011788945561002124,0.02098888878836097,-0.012000127207567777
SOL,2022-06-24 12:00:00,4094,2022,40.09,40.48,-0.005753611869767005,0.013133629497822936,-0.07885857491231982
ETH,2022-06-24 20:00:00,7620,2022,1225.02,1232.0,0.01405562618985872,-0.02247897821982315,-0.06838257209780597
BTC,2022-06-25 04:00:00,7622,2022,21508.13,21558.41,-0.005202711209938359,-0.0067602513975989365,-0.06802218175387237
ETH,2022-06-25 20:00:00,7626,2022,1242.36,1245.43,-0.03653460440968186,-0.04095246709445108,-0.1215117259094725
BTC,2022-06-26 12:00:00,7630,2022,21326.11,21777.0,-0.027157971098885136,-0.03433043644948685,-0.1079438377139777
ETH,2022-06-26 12:00:00,7630,2022,1223.39,1277.0,-0.02979227917187992,-0.032989015995928864,-0.16991387121676532
BTC,2022-07-04 12:00:00,7678,2022,19801.47,19855.7,-0.014317620974642052,0.01739153374094605,0.10358118678704294
