symbol,datetime,bar_index,period,close,ref_low,future_ret_6,future_ret_12,future_ret_24
BTC,2023-05-08 20:00:00,9528,2023-2024,27668.79,27289.39,-0.0014655392981985705,-0.0025345813291252246,-0.03208938702084079
BTC,2023-06-28 16:00:00,9833,2023-2024,30100.0,29930.0,0.01598419398198573,0.009007812548431615,0.015092836929259551
BTC,2023-06-30 12:00:00,9844,2023-2024,30067.72,29858.8,0.016651357762444797,0.014209264536878657,0.029385017585380178
BTC,2023-07-06 12:00:00,9880,2023-2024,30407.01,30200.0,-0.0005322557637564977,-0.00656638397207576,-0.0031027784856336566
BTC,2023-07-06 20:00:00,9882,2023-2024,29895.43,29888.0,0.014916247025860701,0.012934697183380204,0.017117502205011303
BTC,2023-07-07 00:00:00,9883,2023-2024,30135.4,29850.45,0.004616113780298546,0.005050703854113605,0.011238928161725389
ETH,2023-07-07 00:00:00,9883,2023-2024,1858.02,1846.0,0.003181122307765482,0.005271278436928555,0.01165930330841709
ETH,2023-07-17 08:00:00,9945,2023-2024,1910.09,1898.39,-0.008380172273640669,-0.00042415372804606796,-0.010970436448562321
SOL,2023-07-18 12:00:00,6428,2023-2024,25.53,24.87,0.03237276911180291,0.006247579868399801,0.005858247568367849
BTC,2023-07-18 16:00:00,9953,2023-2024,29715.99,29659.2,0.010988007200050345,0.0013455075586387586,0.004030433322460488
BTC,2023-09-21 12:00:00,10342,2023-2024,26584.02,26567.09,0.0017660428722155713,-9.291727716935178e-05,-0.012883561063843545
SOL,2023-10-05 16:00:00,6903,2023-2024,22.8,22.58,0.026829822209176173,0.014369940282952607,-0.02666824708216141
SOL,2023-10-09 16:00:00,6927,2023-2024,22.2,22.05,-0.007687128063981927,-0.013149135270858585,-0.02832532904824521
BTC,2023-10-11 04:00:00,10460,2023-2024,27021.95,27011.01,-0.007849929067063546,-0.005453012244064665,-0.0051732374311992966
BTC,2023-10-11 16:00:00,10463,2023-2024,26763.2,26727.56,-0.0018812147794687985,0.0005741312034396572,0.010428115415450658
SOL,2023-10-12 00:00:00,6941,2023-2024,21.71,21.59,-0.02707915226223522,0.01463217692405126,0.01825701097915443
SOL,2023-10-12 08:00:00,6943,2023-2024,21.5,21.49,-0.0009306654929531506,0.022080013841858256,0.0743737175711773
SOL,2023-10-12 16:00:00,6945,2023-2024,21.22,21.15,0.01682282664415157,0.03791485109887662,0.1172592834839331
ETH,2023-10-27 16:00:00,10559,2023-2024,1774.34,1756.21,0.0015430450600936387,0.01050071177963282,0.020710147559516046
ETH,2023-11-03 00:00:00,10597,2023-2024,1798.34,1777.77,0.02003331454460254,0.04896120676448564,0.04977101126478213
BTC,2023-11-14 00:00:00,10663,2023-2024,36448.07,36333.0,-0.029685574190468123,0.027251170618336984,-0.0020944837557685804
ETH,2023-11-17 16:00:00,10685,2023-2024,1938.88,1912.72,0.012893089549168572,0.02277768184576218,0.023810648693718392
SOL,2023-11-21 12:00:00,7184,2023-2024,55.11,54.7,-0.003089507228016211,0.026677797313993282,0.06054990214858223
SOL,2023-11-21 16:00:00,7185,2023-2024,54.81,52.73,0.04512580139719877,0.027709581427760213,0.07417313019457289
BTC,2023-11-22 00:00:00,10711,2023-2024,36380.0,35735.0,0.024965842533300045,0.02539363661005156,0.03644643239661698
ETH,2023-11-22 00:00:00,10711,2023-2024,1978.31,1931.43,0.0402348565460923,0.04240290273511374,0.048175935350976515
ETH,2023-11-26 16:00:00,10739,2023-2024,2057.05,2040.35,-0.030734135975585497,0.0009475104266898792,-0.007622374942681615
BTC,2023-11-27 04:00:00,10742,2023-2024,37283.19,37150.0,-0.004787858848393744,0.0215848468921128,0.025446222226281668
ETH,2023-11-27 04:00:00,10742,2023-2024,2045.56,2036.42,-0.015240998632413363,0.005873524441839999,0.022807399919411248
SOL,2023-11-27 04:00:00,7218,2023-2024,55.93,55.7,-0.015132697348871342,0.0595196900256283,0.0844752356353284
BTC,2023-11-27 16:00:00,10745,2023-2024,36877.0,36715.0,0.03300043984592811,0.02668209101691602,0.049862654132945196
SOL,2023-11-27 16:00:00,7221,2023-2024,54.13,53.91,0.06974386720710044,0.10395550174629761,0.11142007982534345
SOL,2023-12-05 04:00:00,7266,2023-2024,59.69,59.58,0.05966824532561187,0.05982606115486707,0.2541213041768925
SOL,2023-12-11 00:00:00,7301,2023-2024,70.88,64.5,0.00422357378522124,-0.07924355379389127,0.048198782200098385
BTC,2023-12-11 16:00:00,10829,2023-2024,40779.99,40400.0,0.008740505543654202,0.046803570398444114,0.03176310478618832
ETH,2023-12-11 16:00:00,10829,2023-2024,2187.61,2161.0,-0.003920621694768836,0.029466353241049462,0.024656822808840836
ETH,2023-12-13 00:00:00,10837,2023-2024,2166.03,2156.62,0.038651804349575034,0.05147679301442229,0.022925091624045223
ETH,2023-12-13 04:00:00,10838,2023-2024,2172.49,2150.0,0.04954630671301503,0.044548821398265395,0.01649843864918724
SOL,2023-12-13 04:00:00,7314,2023-2024,64.89,64.18,0.0972836022321815,0.16616461063942584,0.10923648950251921
BTC,2023-12-18 08:00:00,10869,2023-2024,41105.12,40801.0,0.04451169195297026,0.04190988982111853,0.0624489779388674
