symbol,signal_time,entry_time,exit_time,entry_price,exit_price,exit_reason,initial_quantity,initial_notional,entry_equity,entry_fee,total_fees,funding_cost,gross_pnl,net_pnl,net_return_on_entry_equity,trade_return_on_notional,expectancy_r,holding_bars,holding_hours
ETH,2021-11-01 04:00:00,2021-11-01 08:00:00,2021-11-05 04:00:00,4305.091469999999,4527.085325000001,TIME_T24,3.386692929422427,14580.022841965801,145800.228419658,5.832009136786321,11.964748281214135,53.99553332070699,751.8250191037326,685.8647375018116,0.004704140349682317,0.04704140349682316,0.04704140349682316,24,96
BTC,2021-11-06 12:00:00,2021-11-06 16:00:00,2021-11-10 12:00:00,60678.90429,68314.45568500001,TIME_T24,0.2410841783851241,14628.723786064233,146287.23786064232,5.851489514425693,12.439303282683774,73.78104180641816,1840.8106345809656,1754.5902894918636,0.011994144637301443,0.11994144637301442,0.11994144637301442,24,96
ETH,2021-11-06 12:00:00,2021-11-06 16:00:00,2021-11-10 12:00:00,4400.769284999999,4844.286645,TIME_T24,3.3241287690145827,14628.723786064233,146287.23786064232,5.851489514425693,12.292702555224746,33.87759865151963,1474.3088159334,1428.1385147266556,0.009762563950295814,0.09762563950295813,0.09762563950295813,24,96
SOL,2021-11-10 04:00:00,2021-11-10 08:00:00,2021-11-14 04:00:00,240.990435,235.19234500000002,TIME_T24,61.660839382354894,14859.672505218836,148596.72505218835,5.943869002087535,11.744731965689294,25.017873805175324,-357.5150962144365,-394.2777019853011,-0.0026533404544873225,-0.026533404544873223,-0.026533404544873223,24,96
ETH,2021-11-10 20:00:00,2021-11-11 00:00:00,2021-11-14 20:00:00,4630.99434,4624.18675,TIME_T24,3.2167389540274645,14896.699889358708,148966.99889358706,5.9586799557434835,11.908600615512547,17.34802848001008,-21.898239936048938,-51.154869031571565,-0.0003433973256594468,-0.0034339732565944673,-0.0034339732565944673,24,96
BTC,2021-11-12 16:00:00,2021-11-12 20:00:00,2021-11-16 16:00:00,63876.92249999999,60174.367765,TIME_T24,0.2328825270228099,14875.819130240183,148758.19130240183,5.950327652096074,11.55575118294132,35.80178540537639,-862.260303127068,-909.6178397153858,-0.006114741190058414,-0.06114741190058414,-0.06114741190058414,24,96
ETH,2021-11-16 08:00:00,2021-11-16 12:00:00,2021-11-20 08:00:00,4294.586219999999,4315.671085,TIME_T24,3.4512206085525285,14821.564467669701,148215.644676697,5.9286257870678805,11.886358982382381,17.3637880281907,72.76852061655039,43.5183736059773,0.0002936152502720208,0.002936152502720208,0.002936152502720208,24,96
SOL,2021-11-16 08:00:00,2021-11-16 12:00:00,2021-11-20 08:00:00,225.042465,215.45222,TIME_T24,65.861189654449,14821.564467669701,148215.644676697,5.9286257870678805,11.60460159622471,16.69607502216144,-631.6249447776302,-659.9256213960164,-0.004452469392387781,-0.04452469392387781,-0.04452469392387781,24,96
BTC,2022-03-31 12:00:00,2022-03-31 16:00:00,2022-04-04 12:00:00,46477.03690499999,45611.06306,TIME_T24,0.3173578154472897,14749.85090063386,147498.5090063386,5.899940360253544,11.689951293433612,15.644086104880753,-274.82356768368766,-302.15760508200196,-0.0020485468437448206,-0.020485468437448206,-0.020485468437448206,24,96
ETH,2022-04-05 20:00:00,2022-04-06 00:00:00,2022-04-09 20:00:00,3408.7034999999996,3256.940715,TIME_T24,4.318250367075243,14719.635140125663,147196.35140125663,5.887854056050266,11.513568231286687,2.9395444175909375,-655.3497020346088,-669.8028146834864,-0.004550403650003571,-0.04550403650003571,-0.04550403650003571,24,96
