datetime,scale,sigma_annualized,prior_return_count
2022-03-30 20:00:00,1.0,0.0,4918
2022-03-31 00:00:00,1.0,0.0,4919
2022-03-31 04:00:00,1.0,0.0,4920
2022-03-31 08:00:00,1.0,0.0,4921
2022-03-31 12:00:00,1.0,0.0,4922
2022-03-31 16:00:00,1.0,0.0,4923
2022-03-31 20:00:00,1.0,0.0,4924
2022-04-01 00:00:00,1.0,0.0,4925
2022-04-01 04:00:00,1.0,0.0,4926
2022-04-01 08:00:00,1.0,0.0,4927
2022-04-01 12:00:00,1.0,0.0,4928
2022-04-01 16:00:00,1.0,0.0,4929
2022-04-01 20:00:00,1.0,0.0,4930
2022-04-02 00:00:00,1.0,0.0,4931
2022-04-02 04:00:00,1.0,0.0,4932
2022-04-02 08:00:00,1.0,0.0,4933
2022-04-02 12:00:00,1.0,0.0,4934
2022-04-02 16:00:00,1.0,0.0,4935
2022-04-02 20:00:00,1.0,0.0,4936
2022-04-03 00:00:00,1.0,0.0,4937
2022-04-03 04:00:00,1.0,0.0,4938
2022-04-03 08:00:00,1.0,0.0,4939
2022-04-03 12:00:00,1.0,0.0,4940
2022-04-03 16:00:00,1.0,0.0,4941
2022-04-03 20:00:00,1.0,0.0,4942
2022-04-04 00:00:00,1.0,0.0,4943
2022-04-04 04:00:00,1.0,0.0,4944
2022-04-04 08:00:00,1.0,0.0,4945
2022-04-04 12:00:00,1.0,0.0,4946
2022-04-04 16:00:00,1.0,0.0,4947
2022-04-04 20:00:00,1.0,0.0,4948
2022-04-05 00:00:00,1.0,0.0,4949
2022-04-05 04:00:00,1.0,0.0,4950
2022-04-05 08:00:00,1.0,0.0,4951
2022-04-05 12:00:00,1.0,0.0,4952
2022-04-05 16:00:00,1.0,0.0,4953
2022-04-05 20:00:00,1.0,0.0,4954
2022-04-06 00:00:00,1.0,0.0,4955
2022-04-06 04:00:00,1.0,0.0,4956
2022-04-06 08:00:00,1.0,0.0,4957
2022-04-06 12:00:00,1.0,0.0,4958
2022-04-06 16:00:00,1.0,0.0,4959
2022-04-06 20:00:00,1.0,0.0,4960
2022-04-07 00:00:00,1.0,0.0,4961
2022-04-07 04:00:00,1.0,0.0,4962
2022-04-07 08:00:00,1.0,0.0,4963
2022-04-07 12:00:00,1.0,0.0,4964
2022-04-07 16:00:00,1.0,0.0,4965
2022-04-07 20:00:00,1.0,0.0,4966
2022-04-08 00:00:00,1.0,0.0,4967
2022-04-08 04:00:00,1.0,0.0,4968
2022-04-08 08:00:00,1.0,0.0,4969
2022-04-08 12:00:00,1.0,0.0,4970
2022-04-08 16:00:00,1.0,0.0,4971
2022-04-08 20:00:00,1.0,0.0,4972
2022-04-09 00:00:00,1.0,0.0,4973
2022-04-09 04:00:00,1.0,0.0,4974
2022-04-09 08:00:00,1.0,0.0,4975
2022-04-09 12:00:00,1.0,0.0,4976
2022-04-09 16:00:00,1.0,0.0,4977
2022-04-09 20:00:00,1.0,0.0,4978
2022-04-10 00:00:00,1.0,0.0,4979
2022-04-10 04:00:00,1.0,0.0,4980
2022-04-10 08:00:00,1.0,0.0,4981
2022-04-10 12:00:00,1.0,0.0,4982
2022-04-10 16:00:00,1.0,0.0,4983
2022-04-10 20:00:00,1.0,0.0,4984
2022-04-11 00:00:00,1.0,0.0,4985
2022-04-11 04:00:00,1.0,0.0,4986
2022-04-11 08:00:00,1.0,0.0,4987
2022-04-11 12:00:00,1.0,0.0,4988
2022-04-11 16:00:00,1.0,0.0,4989
2022-04-11 20:00:00,1.0,0.0,4990
2022-04-12 00:00:00,1.0,0.0,4991
2022-04-12 04:00:00,1.0,0.0,4992
2022-04-12 08:00:00,1.0,0.0,4993
2022-04-12 12:00:00,1.0,0.0,4994
2022-04-12 16:00:00,1.0,0.0,4995
2022-04-12 20:00:00,1.0,0.0,4996
2022-04-13 00:00:00,1.0,0.0,4997
2022-04-13 04:00:00,1.0,0.0,4998
2022-04-13 08:00:00,1.0,0.0,4999
2022-04-13 12:00:00,1.0,0.0,5000
2022-04-13 16:00:00,1.0,0.0,5001
2022-04-13 20:00:00,1.0,0.0,5002
2022-04-14 00:00:00,1.0,0.0,5003
2022-04-14 04:00:00,1.0,0.0,5004
2022-04-14 08:00:00,1.0,0.0,5005
2022-04-14 12:00:00,1.0,0.0,5006
2022-04-14 16:00:00,1.0,0.0,5007
2022-04-14 20:00:00,1.0,0.0,5008
2022-04-15 00:00:00,1.0,0.0,5009
2022-04-15 04:00:00,1.0,0.0,5010
2022-04-15 08:00:00,1.0,0.0,5011
2022-04-15 12:00:00,1.0,0.0,5012
2022-04-15 16:00:00,1.0,0.0,5013
2022-04-15 20:00:00,1.0,0.0,5014
2022-04-16 00:00:00,1.0,0.0,5015
2022-04-16 04:00:00,1.0,0.0,5016
2022-04-16 08:00:00,1.0,0.0,5017
2022-04-16 12:00:00,1.0,0.0,5018
2022-04-16 16:00:00,1.0,0.0,5019
2022-04-16 20:00:00,1.0,0.0,5020
2022-04-17 00:00:00,1.0,0.0,5021
2022-04-17 04:00:00,1.0,0.0,5022
2022-04-17 08:00:00,1.0,0.0,5023
2022-04-17 12:00:00,1.0,0.0,5024
2022-04-17 16:00:00,1.0,0.0,5025
2022-04-17 20:00:00,1.0,0.0,5026
2022-04-18 00:00:00,1.0,0.0,5027
2022-04-18 04:00:00,1.0,0.0,5028
2022-04-18 08:00:00,1.0,0.0,5029
2022-04-18 12:00:00,1.0,0.0,5030
2022-04-18 16:00:00,1.0,0.0,5031
2022-04-18 20:00:00,1.0,0.0,5032
2022-04-19 00:00:00,1.0,0.0,5033
2022-04-19 04:00:00,1.0,0.0,5034
2022-04-19 08:00:00,1.0,0.0,5035
2022-04-19 12:00:00,1.0,0.0,5036
2022-04-19 16:00:00,1.0,0.0,5037
2022-04-19 20:00:00,1.0,0.0,5038
2022-04-20 00:00:00,1.0,0.0,5039
2022-04-20 04:00:00,1.0,0.0,5040
2022-04-20 08:00:00,1.0,0.0,5041
2022-04-20 12:00:00,1.0,0.0,5042
2022-04-20 16:00:00,1.0,0.0,5043
2022-04-20 20:00:00,1.0,0.0,5044
2022-04-21 00:00:00,1.0,0.0,5045
2022-04-21 04:00:00,1.0,0.0,5046
2022-04-21 08:00:00,1.0,0.0,5047
2022-04-21 12:00:00,1.0,0.0,5048
2022-04-21 16:00:00,1.0,0.0,5049
2022-04-21 20:00:00,1.0,0.0,5050
2022-04-22 00:00:00,1.0,0.0,5051
2022-04-22 04:00:00,1.0,0.0,5052
2022-04-22 08:00:00,1.0,0.0,5053
2022-04-22 12:00:00,1.0,0.0,5054
2022-04-22 16:00:00,1.0,0.0,5055
2022-04-22 20:00:00,1.0,0.0,5056
2022-04-23 00:00:00,1.0,0.0,5057
2022-04-23 04:00:00,1.0,0.0,5058
2022-04-23 08:00:00,1.0,0.0,5059
2022-04-23 12:00:00,1.0,0.0,5060
2022-04-23 16:00:00,1.0,0.0,5061
2022-04-23 20:00:00,1.0,0.0,5062
2022-04-24 00:00:00,1.0,0.0,5063
2022-04-24 04:00:00,1.0,0.0,5064
2022-04-24 08:00:00,1.0,0.0,5065
2022-04-24 12:00:00,1.0,0.0,5066
2022-04-24 16:00:00,1.0,0.0,5067
2022-04-24 20:00:00,1.0,0.0,5068
2022-04-25 00:00:00,1.0,0.0,5069
2022-04-25 04:00:00,1.0,0.0,5070
2022-04-25 08:00:00,1.0,0.0,5071
2022-04-25 12:00:00,1.0,0.0,5072
2022-04-25 16:00:00,1.0,0.0,5073
2022-04-25 20:00:00,1.0,0.0,5074
2022-04-26 00:00:00,1.0,0.0,5075
2022-04-26 04:00:00,1.0,0.0,5076
2022-04-26 08:00:00,1.0,0.0,5077
2022-04-26 12:00:00,1.0,0.0,5078
2022-04-26 16:00:00,1.0,0.0,5079
2022-04-26 20:00:00,1.0,0.0,5080
2022-04-27 00:00:00,1.0,0.0,5081
2022-04-27 04:00:00,1.0,0.0,5082
2022-04-27 08:00:00,1.0,0.0,5083
2022-04-27 12:00:00,1.0,0.0,5084
2022-04-27 16:00:00,1.0,0.0,5085
2022-04-27 20:00:00,1.0,0.0,5086
2022-04-28 00:00:00,1.0,0.0,5087
2022-04-28 04:00:00,1.0,0.0,5088
2022-04-28 08:00:00,1.0,0.0,5089
2022-04-28 12:00:00,1.0,0.0,5090
2022-04-28 16:00:00,1.0,0.0,5091
2022-04-28 20:00:00,1.0,0.0,5092
2022-04-29 00:00:00,1.0,0.0,5093
2022-04-29 04:00:00,1.0,0.0,5094
2022-04-29 08:00:00,1.0,0.0,5095
2022-04-29 12:00:00,1.0,0.0,5096
2022-04-29 16:00:00,1.0,0.0,5097
2022-04-29 20:00:00,1.0,0.0,5098
2022-04-30 00:00:00,1.0,0.0,5099
2022-04-30 04:00:00,1.0,0.0,5100
2022-04-30 08:00:00,1.0,0.0,5101
2022-04-30 12:00:00,1.0,0.0,5102
2022-04-30 16:00:00,1.0,0.0,5103
2022-04-30 20:00:00,1.0,0.0,5104
2022-05-01 00:00:00,1.0,0.0,5105
2022-05-01 04:00:00,1.0,0.0,5106
2022-05-01 08:00:00,1.0,0.0,5107
2022-05-01 12:00:00,1.0,0.0,5108
2022-05-01 16:00:00,1.0,0.0,5109
2022-05-01 20:00:00,1.0,0.0,5110
2022-05-02 00:00:00,1.0,0.0,5111
2022-05-02 04:00:00,1.0,0.0,5112
2022-05-02 08:00:00,1.0,0.0,5113
2022-05-02 12:00:00,1.0,0.0,5114
2022-05-02 16:00:00,1.0,0.0,5115
2022-05-02 20:00:00,1.0,0.0,5116
2022-05-03 00:00:00,1.0,0.0,5117
2022-05-03 04:00:00,1.0,0.0,5118
2022-05-03 08:00:00,1.0,0.0,5119
2022-05-03 12:00:00,1.0,0.0,5120
