symbol,onboard_date,delist_date,source
TRUUSDT,2023-03-06,2026-04-21,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LQTYUSDT,2023-03-08,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
USDCUSDT,2023-03-12,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ARBUSDT,2023-03-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
IDUSDT,2023-03-23,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
JOEUSDT,2023-03-28,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
AMBUSDT,2023-03-29,2025-02-21,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
LEVERUSDT,2023-03-29,2025-09-03,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
TLMUSDT,2023-03-29,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
RDNTUSDT,2023-04-04,2026-03-24,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
HFTUSDT,2023-04-05,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XVSUSDT,2023-04-12,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
BLURUSDT,2023-04-27,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
EDUUSDT,2023-04-28,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
IDEXUSDT,2023-05-02,2024-05-15,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
SUIUSDT,2023-05-03,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000PEPEUSDT,2023-05-05,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
1000FLOKIUSDT,2023-05-06,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
RADUSDT,2023-05-09,2024-05-14,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
UMAUSDT,2023-05-09,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
KEYUSDT,2023-05-23,2024-12-03,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
COMBOUSDT,2023-06-02,2025-03-27,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
NMRUSDT,2023-06-22,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MAVUSDT,2023-06-29,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
MDTUSDT,2023-06-30,2024-05-16,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
XVGUSDT,2023-07-05,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
WLDUSDT,2023-07-24,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
ARKMUSDT,2023-07-28,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
PENDLEUSDT,2023-07-28,,Binance fapi/v1/exchangeInfo; data.binance.vision monthly/daily klines HEAD probe
